Photo,Ci,Tleaf,Press
40.34016256,1775.415398,28.8952713,101.0205917
40.01017742,1279.906769,29.08514595,101.0266113
40.03852938,968.1618112,29.31940842,101.0254745
39.22122371,759.9464361,29.57936478,101.0203018
37.17045839,579.8602793,29.69603729,101.0286407
33.43013196,430.0085828,29.47948456,101.0364456
26.37565205,287.3465082,29.17855263,101.0420303
13.246976,150.319796,28.86159897,101.040329
4.236927862,83.04536223,28.8604908,101.0428848
-0.702251896,51.47423485,28.84958458,101.036438
-3.452206108,30.66700161,28.78046989,101.0340271
